epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10833.1,4.71588,13.5021,3.54857,0.57596,0.06066,0.03609,0.01532,4.39121,10.1255,3.25574,0.000123065,0.000123065,0.000123065
2,20418.4,4.39962,10.7776,3.1841,0.55492,0.10455,0.06233,0.02578,4.30511,8.73386,3.1581,0.000222005,0.000222005,0.000222005
3,29975.6,4.3233,9.24961,3.13785,0.40827,0.11329,0.07106,0.0299,4.2567,7.71263,3.16114,0.000296525,0.000296525,0.000296525
4,39757.9,4.25994,8.17614,3.10403,0.34696,0.14249,0.09067,0.0388,4.21118,6.96247,3.12826,0.00026011,0.00026011,0.00026011
5,49408.3,4.16623,7.34345,3.05272,0.33129,0.16023,0.08986,0.03886,4.15053,6.60757,3.09609,0.00022348,0.00022348,0.00022348
6,59046.5,4.14484,6.84123,3.02109,0.32852,0.18539,0.10968,0.0475,4.09472,6.32486,3.03899,0.00018685,0.00018685,0.00018685
7,68710.1,4.06656,6.43178,2.97714,0.34555,0.19303,0.11481,0.05039,4.04666,6.07765,2.96798,0.00015022,0.00015022,0.00015022
8,78421.5,4.04157,6.19148,2.94358,0.31735,0.1908,0.1331,0.05772,4.07048,5.78894,3.0172,0.00011359,0.00011359,0.00011359
9,88519.8,3.97713,5.94384,2.91421,0.3286,0.19628,0.13845,0.06039,4.01176,5.66523,2.98909,7.696e-05,7.696e-05,7.696e-05
10,98968.1,3.92782,5.79836,2.89733,0.3298,0.20517,0.14417,0.06393,4.00346,5.62506,2.96636,4.033e-05,4.033e-05,4.033e-05
